1;"AGRÍCOLA; PECUARIO Y HORTOFRUTICOLA";;;2020-08-21 17:03:09;2020-08-21 17:03:09
2;ALIMENTOS Y BEBIDAS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
3;PRODUCTOS PARA LA CONTRUCCIÓN Y DECORACIÓN;;;2020-08-21 17:03:09;2020-08-21 17:03:09
4;PLÁSTICOS O AFINES;;;2020-08-21 17:03:09;2020-08-21 17:03:09
5;"ENVASES; EMBALAJES Y AFINES";;;2020-08-21 17:03:09;2020-08-21 17:03:09
6;QUÍMICOS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
7;"FARMACIA; MEDICAMENTOS";;;2020-08-21 17:03:09;2020-08-21 17:03:09
8;EQUIPOS ELÉCTRICOS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
9;MINERÍA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
10;INDUSTRIA DE LA MADERA Y MUEBLES EN GENERAL;;;2020-08-21 17:03:09;2020-08-21 17:03:09
11;"INDUSTRIA TEXTIL; CONFECCIONES Y MODA";;;2020-08-21 17:03:09;2020-08-21 17:03:09
12;CUERO CALZADO Y MANUFACTURAS DE CUERO;;;2020-08-21 17:03:09;2020-08-21 17:03:09
13;INDUSTRIA PAPELERA Y GRÁFICA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
14;"VEHÍCULOS AUTOMOTORES; PIEZAS; PARTES";;;2020-08-21 17:03:09;2020-08-21 17:03:09
15;EQUIPOS E IMPLEMENTOS HIDRAHULICOS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
16;TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN;;;2020-08-21 17:03:09;2020-08-21 17:03:09
17;ELECTRODOMÉSTICOS Y LÍNEA BLANCA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
18;ARTESANIAS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
19;JOYERÍA. BISUTERÍA Y ORFEBRERÍA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
20;"COSMÉTICOS; BELLEZA Y SALUD";;;2020-08-21 17:03:09;2020-08-21 17:03:09
21;METALMECÁNICA Y ELECTROMECÁNICA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
22;"EQUIPOS DE TECNÓLOGÍA PARA LA INDUSTRIA MINERA; GAS; PETROLIO O SIMILARES";;;2020-08-21 17:03:09;2020-08-21 17:03:09
23;"PETROLEO; GAS Y PETROQUÍMICA";;;2020-08-21 17:03:09;2020-08-21 17:03:09
24;"ARTÍCULOS; IMPLEMENTOS Y EQUIPOS DE SEGURIDAD";;;2020-08-21 17:03:09;2020-08-21 17:03:09
25;ARTÍCULOS DE LIMPIEZA PARA EL HOGAR;;;2020-08-21 17:03:09;2020-08-21 17:03:09
26;JUGUETERÍA Y ARTÍCULOS DE ENTRETENIMIENTO;;;2020-08-21 17:03:09;2020-08-21 17:03:09
27;FERRETERÍA Y HERRAMIENTAS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
28;ENERGÍA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
29;ECOLÓGÍA Y PROTECCIÓN DE MEDIO AMBIENTE;;;2020-08-21 17:03:09;2020-08-21 17:03:09
30;TECNOLOGÍA Y EQUIPAMIENTO PARA AGROPECUARIA E INDUSTRIA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
31;OTROS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
32;COMPAÑÍA DE TRADING;;;2020-08-21 17:03:09;2020-08-21 17:03:09
33;BANCOS Y FINANCIERAS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
34;FLETES Y TRANSPORTE;;;2020-08-21 17:03:09;2020-08-21 17:03:09
35;SERVICIOS ADUANEROS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
36;ALMACENAMIENTO Y DISTRIBUCIÓN;;;2020-08-21 17:03:09;2020-08-21 17:03:09
37;SEGUROS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
38;TURISMO;;;2020-08-21 17:03:09;2020-08-21 17:03:09
39;SERVICIOS EMPRESARIALES;;;2020-08-21 17:03:09;2020-08-21 17:03:09
40;SERVICIOS DE COSTRUCCIÓN E INGENIERÍA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
41;SERVICIOS INFORMÁTICOS Y DE TELECOMUNICACIÓN;;;2020-08-21 17:03:09;2020-08-21 17:03:09
42;SERVICIOS PARA LA AGROINDUSTRIA;;;2020-08-21 17:03:09;2020-08-21 17:03:09
43;OTROS SERVICIOS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
44;GOBIERNO Y SUS ORGANISMOS;;;2020-08-21 17:03:09;2020-08-21 17:03:09
45;ORGANISMOS INTERNACIONALES;;;2020-08-21 17:03:09;2020-08-21 17:03:09
46;CÁMARAS Y ORGANIZACIONES EMPRESARIALES;;;2020-08-21 17:03:09;2020-08-21 17:03:09
